,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__var_smoothing,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,fold,model,param_model__reg_param,param_model__tol
0,8.422562837600708,0.37142667528200585,0.658588457107544,0.057484041486628654,1.873817422860383e-06,{'model__var_smoothing': 1.873817422860383e-06},0.45699806473060817,0.44711123151900944,0.4555506715646769,0.4532031817392182,0.4540389105799614,0.4533804120266948,0.0033930839278075364,1,0.5077468684517388,0.5188498147836195,0.5076311639294788,0.5106999750780555,0.5065130833931029,0.510288181127199,0.004499789295736571,1,gaussian_nb,,
0,6.386532926559449,0.1173883330674527,0.6253730773925781,0.016570453140643024,1.873817422860383e-06,{'model__var_smoothing': 1.873817422860383e-06},0.4545719751144298,0.4266091580516912,0.4585335368747787,0.4467811453118247,0.4501719314558611,0.4473335493617171,0.011096814732057508,1,0.5109946102798512,0.4926909244041332,0.5131659436851347,0.5003221829802734,0.5137413339389295,0.5061829990576643,0.008311760198063971,2,gaussian_nb,,
0,5.374563980102539,0.5254302102400181,0.4705048561096191,0.15105890445162581,1.873817422860383e-06,{'model__var_smoothing': 1.873817422860383e-06},0.44757071729430753,0.4551505967295995,0.4572321914093039,0.4600882988150153,0.4673148595980255,0.45747133276925034,0.00643752627725823,1,0.5175682039261564,0.5169115604745793,0.5146087343765863,0.5193392839896815,0.5169752700475599,0.5170806105629127,0.001515862749310704,3,gaussian_nb,,
0,6.562874698638916,0.12880653802428832,0.6183429718017578,0.01386643349845315,1.873817422860383e-06,{'model__var_smoothing': 1.873817422860383e-06},0.45455053585376887,0.44942465576907964,0.44959130367131495,0.45532239837593375,0.4492836197769544,0.4516345026894103,0.0027088211501402255,1,0.5050240818652325,0.516745212365736,0.5089826099353528,0.5041040628944938,0.5095813312509476,0.5088874596623526,0.004473060731657526,4,gaussian_nb,,
0,6.213933658599854,0.1230732969656751,0.6246953487396241,0.026534673181135258,1.873817422860383e-06,{'model__var_smoothing': 1.873817422860383e-06},0.4439140209096931,0.4594812909942851,0.4615732625992142,0.44985809853052244,0.4314838159637212,0.4492620977994872,0.010963768846533679,1,0.501845935939623,0.49848752536365676,0.5159113182056979,0.5014455809083267,0.5094824604143843,0.5054345641663377,0.006374941997295666,5,gaussian_nb,,
0,44.469237899780275,0.26853580134850297,2.618810844421387,0.05800756360409592,,"{'model__reg_param': 0.001, 'model__tol': 0.0001}",0.493301989397157,0.5080448726956909,0.5067596422905766,0.5210006444302325,0.4898318694498892,0.5037878036527093,0.011206754654528545,1,0.9797898520627073,0.980045772833658,0.980270117533873,0.9800322897692108,0.9792016254464431,0.9798679315291784,0.0003661843639458964,1,qda,0.001,0.0001
0,48.2490777015686,0.4234817131536582,3.111835813522339,0.10168925747145359,,"{'model__reg_param': 0.001, 'model__tol': 0.0001}",0.5012406033712155,0.4969727768566951,0.48641577382968676,0.5072289831039699,0.5150591138865156,0.5013834502096166,0.009640537460975334,1,0.9806153205888083,0.9766094330867937,0.9793413063537796,0.977199348149416,0.9786269594419209,0.9784784735241437,0.0014465211936340928,2,qda,0.001,0.0001
0,49.48111844062805,0.3698189924656544,3.1643306255340575,0.14341465089147098,,"{'model__reg_param': 0.001, 'model__tol': 0.0001}",0.4735998008504591,0.5126794153454151,0.4917508100808508,0.5089667314438813,0.5068502923113554,0.4987694100063923,0.014460596404263733,1,0.9795433941742681,0.9776912861092323,0.9790763906305775,0.9792191501134625,0.9792006636366489,0.978946176932838,0.0006461660559743078,3,qda,0.001,0.0001
0,49.651271724700926,0.4359671114309507,3.4033162593841553,0.09748574033390198,,"{'model__reg_param': 0.001, 'model__tol': 0.0001}",0.5046182561912067,0.4876859587419686,0.49223423880435235,0.4997199918590664,0.495373239742446,0.49592633706780803,0.0058614437797225504,1,0.9787422077421748,0.9771939451176777,0.9775679803231673,0.9791442482312522,0.9791233738849833,0.9783543510598511,0.0008161724498081314,4,qda,0.001,0.0001
0,49.444040060043335,0.6195703778166485,3.2337618350982664,0.12782936513888338,,"{'model__reg_param': 0.001, 'model__tol': 0.0001}",0.5017377845767684,0.49556641092215864,0.4892008828550606,0.4792121207050729,0.5040762073691424,0.4939586812856406,0.0090062341909468,1,0.9800395100970201,0.9781781523560746,0.97780514182168,0.9801736009650684,0.9795708713362888,0.9791534553152264,0.00097664645567167,5,qda,0.001,0.0001
