,model,fold,loss_test,acc_test,f1_test,cfg
0,gaussian_nb,1,0.5612167300380229,0.4387832699619772,0.43884195574346546,{'model__var_smoothing': 1.873817422860383e-06}
1,gaussian_nb,2,0.5349809885931559,0.4650190114068441,0.4664056669825112,{'model__var_smoothing': 1.873817422860383e-06}
2,gaussian_nb,3,0.5705591479650057,0.42944085203499427,0.4288970826602807,{'model__var_smoothing': 1.873817422860383e-06}
3,gaussian_nb,4,0.5424115633320654,0.4575884366679346,0.45813110023184694,{'model__var_smoothing': 1.873817422860383e-06}
4,gaussian_nb,5,0.5389882084442754,0.46101179155572464,0.46149011295700737,{'model__var_smoothing': 1.873817422860383e-06}
5,qda,1,0.47338403041825095,0.526615969581749,0.5130002194796939,"{'model__reg_param': 0.001, 'model__tol': 0.0001}"
6,qda,2,0.46996197718631183,0.5300380228136882,0.5167449173708737,"{'model__reg_param': 0.001, 'model__tol': 0.0001}"
7,qda,3,0.4739444655762647,0.5260555344237353,0.5117476268634027,"{'model__reg_param': 0.001, 'model__tol': 0.0001}"
8,qda,4,0.4632940281475846,0.5367059718524154,0.5235985835506214,"{'model__reg_param': 0.001, 'model__tol': 0.0001}"
9,qda,5,0.4701407379231647,0.5298592620768353,0.5142075232273657,"{'model__reg_param': 0.001, 'model__tol': 0.0001}"
