,model,fold,loss_test,acc_test,f1_test,cfg
0,random_forest_classifier,1,0.2425855513307985,0.7574144486692015,0.75674584959841,"{'model__max_depth': 10, 'model__max_features': 'sqrt', 'model__n_estimators': 700}"
1,random_forest_classifier,2,0.23422053231939166,0.7657794676806083,0.764967352812442,"{'model__max_depth': 10, 'model__max_features': 'sqrt', 'model__n_estimators': 700}"
2,random_forest_classifier,3,0.2392544693799924,0.7607455306200076,0.7606227205212284,"{'model__max_depth': 10, 'model__max_features': 'sqrt', 'model__n_estimators': 700}"
3,random_forest_classifier,4,0.2533282616964625,0.7466717383035375,0.7461611170908972,"{'model__max_depth': 10, 'model__max_features': 'sqrt', 'model__n_estimators': 700}"
4,random_forest_classifier,5,0.2411563332065424,0.7588436667934576,0.7587199817013435,"{'model__max_depth': 10, 'model__max_features': 'sqrt', 'model__n_estimators': 700}"
5,decision_tree_classifier,1,0.344106463878327,0.655893536121673,0.6577716357155203,"{'model__criterion': 'gini', 'model__max_depth': 10}"
6,decision_tree_classifier,2,0.34904942965779473,0.6509505703422053,0.6523021005757333,"{'model__criterion': 'gini', 'model__max_depth': 10}"
7,decision_tree_classifier,3,0.34385697984024344,0.6561430201597566,0.657386782124041,"{'model__criterion': 'gini', 'model__max_depth': 10}"
8,decision_tree_classifier,4,0.36820083682008364,0.6317991631799164,0.6335941757269591,"{'model__criterion': 'gini', 'model__max_depth': 10}"
9,decision_tree_classifier,5,0.33662989729935333,0.6633701027006467,0.6643607031028388,"{'model__criterion': 'gini', 'model__max_depth': 10}"
