,Unnamed: 0,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__C,param_model__gamma,param_model__kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,fold,model
0,0,1465.4472457885745,21.344511819603337,58.39229855537415,4.092529082864585,1,1.0,rbf,"{'model__C': 1, 'model__gamma': 1, 'model__kernel': 'rbf'}",0.1456498936904512,0.1467480065189405,0.1516340175848203,0.15058956969262,0.145740413935653,0.148072380284497,0.0025330604807934,21,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,svc
1,1,119.3203767299652,1.995316775612264,23.426516485214236,0.1649054143671565,1,1.0,poly,"{'model__C': 1, 'model__gamma': 1, 'model__kernel': 'poly'}",0.8129749705600061,0.8097465640499952,0.8219304750834073,0.8261389300527398,0.8120500060651162,0.8165681891622529,0.0063279216033073,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,svc
2,2,1588.6025586605072,20.24440416266944,71.20486521720886,1.834340053645064,1,1.0,sigmoid,"{'model__C': 1, 'model__gamma': 1, 'model__kernel': 'sigmoid'}",7.764159346430318e-05,0.0008537516527726,7.327298997304927e-05,0.0026352880571787,5.498026958053008e-05,0.0007389869125938,0.0009957456223488,25,7.373485886049834e-05,7.057380255402087e-05,6.992638862681003e-05,0.0027390250599323,6.536866365853542e-05,0.0006037257547264,0.0010676529958156,1,svc
3,3,248.79003391265869,0.7313459993464692,42.461324739456174,1.1283017200943362,1,0.1,rbf,"{'model__C': 1, 'model__gamma': 0.1, 'model__kernel': 'rbf'}",0.7394734065648711,0.7312107117123239,0.7574949383935594,0.7582627992228398,0.760875465112283,0.7494634642011754,0.0118754441122637,14,0.992754577987434,0.9926343141101738,0.9926361369912884,0.9932281722662616,0.9942959093524216,0.993109822141516,0.0006320591020351,1,svc
4,4,118.14067740440368,3.571158728487831,22.858790636062626,0.6334145865928761,1,0.1,poly,"{'model__C': 1, 'model__gamma': 0.1, 'model__kernel': 'poly'}",0.8096280959929301,0.811125708463885,0.8209008661273518,0.8289465185936704,0.814868579951248,0.817093953825817,0.0070892474580938,4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,svc
5,5,1025.643750667572,27.61704628737125,70.72971105575562,2.044308045996164,1,0.1,sigmoid,"{'model__C': 1, 'model__gamma': 0.1, 'model__kernel': 'sigmoid'}",0.003105286698847,0.0022086942343433,0.0008758071200287,0.0008879684110063,0.0041179932763384,0.0022391499481128,0.0012621860311853,22,0.0021113140099272,0.0019610146176109,0.0003886276575864,0.0018797781446834,0.0036286712404281,0.0019938811340472,0.0010273526751833,1,svc
6,6,175.6450318336487,3.0790257635024454,51.76497282981872,2.3376290734395178,1,0.01,rbf,"{'model__C': 1, 'model__gamma': 0.01, 'model__kernel': 'rbf'}",0.7861160626599394,0.7761087208060747,0.7954821620608907,0.7985765479359659,0.8008672397154711,0.7914301466356684,0.0091600675139524,10,0.8658903844392176,0.8697887082541331,0.8699996183511531,0.8660489414880091,0.8694320642408715,0.868231943354677,0.0018567109247951,1,svc
7,7,405.4261336326599,14.997340621210723,52.75198798179626,0.5172335304936779,1,0.01,poly,"{'model__C': 1, 'model__gamma': 0.01, 'model__kernel': 'poly'}",0.607186541827675,0.6001637554737568,0.6184102717426155,0.617374129352077,0.6093974465239302,0.6105064289840109,0.0067654774682289,18,0.6548363689796377,0.659601906210328,0.6589584474071744,0.655757579726488,0.6530445169122753,0.6564397638471806,0.0024862366429994,1,svc
8,8,243.62620639801025,1.6901635511777675,47.981152057647705,0.5221531389684702,1,0.01,sigmoid,"{'model__C': 1, 'model__gamma': 0.01, 'model__kernel': 'sigmoid'}",0.7367109153534912,0.7456370371814256,0.7380813658480093,0.7657055165561011,0.7607619514095988,0.7493793572697252,0.011817325558608,15,0.7913027490781841,0.7963620760695527,0.7937669044496092,0.7970205991874414,0.7899648263635788,0.7936834310296732,0.0027500714751283,1,svc
9,9,1432.428353023529,32.70671508470391,59.91900782585144,4.252493810166909,10,1.0,rbf,"{'model__C': 10, 'model__gamma': 1, 'model__kernel': 'rbf'}",0.1477930268447432,0.1508514246451782,0.1526232859660103,0.1557435556059229,0.1495374246809597,0.1513097435485629,0.0027240612989802,20,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,svc
