,model,fold,loss_test,acc_test,f1_test,cfg
0,gaussian_nb,1,0.5555133079847909,0.44448669201520913,0.4456383193143329,{'var_smoothing': 6.579332246575682e-07}
1,gaussian_nb,2,0.5342205323193916,0.46577946768060835,0.4674005879732254,{'var_smoothing': 8.111308307896872e-07}
2,gaussian_nb,3,0.5644731837200456,0.4355268162799544,0.4358733390839285,{'var_smoothing': 4.3287612810830526e-07}
3,gaussian_nb,4,0.5412704450361354,0.4587295549638646,0.4596821075552172,{'var_smoothing': 3.5111917342151275e-06}
4,gaussian_nb,5,0.5446937999239254,0.45530620007607453,0.4554668635305556,{'var_smoothing': 1.232846739442066e-06}
5,qda,1,0.45741444866920156,0.5425855513307984,0.527085028492812,"{'reg_param': 0.001, 'tol': 0.0001}"
6,qda,2,0.45855513307984785,0.5414448669201521,0.5289853747281642,"{'reg_param': 0.001, 'tol': 0.0001}"
7,qda,3,0.4644351464435147,0.5355648535564853,0.5218435233347198,"{'reg_param': 0.001, 'tol': 0.0001}"
8,qda,4,0.4629136553822746,0.5370863446177254,0.5250158833530274,"{'reg_param': 0.001, 'tol': 0.0001}"
9,qda,5,0.4815519208824648,0.5184480791175352,0.5056877909331686,"{'reg_param': 0.001, 'tol': 0.0001}"
